REGION,INSTITUTION_NAME,INSTITUTION_TYPE,PROVINCE,MUNICIPALITY_CITY,FULL_ADDRESS,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
13 - Nat. Capital Region,Adamson University,Private,Metro Manila,Manila,"Adamson University, Manila, Metro Manila, Philippines",adamson university manila metro manila philippines,,14.5874779,120.9856156,google,"900 San Marcelino St, Ermita, Manila, 1000 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Air Link International Aviation College,Private,Metro Manila,Manila,"Air Link International Aviation College, Manila, Metro Manila, Philippines",air link international aviation college manila metro manila philippines,"Air Link International Aviation College, Manila, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Alliance Graduate School,Private,Metro Manila,Quezon City,"Alliance Graduate School, Quezon City, Metro Manila, Philippines",alliance graduate school quezon city metro manila philippines,,14.6558774,121.0253717,google,"101 Dangay, Project 7, Quezon City, 1105 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,AMA Computer College-Makati,Private,Metro Manila,Makati,"AMA Computer College-Makati, Makati, Metro Manila, Philippines",ama computer college-makati makati metro manila philippines,"AMA Computer College-Makati, Makati, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,AMA Computer University,Private,Metro Manila,Quezon City,"AMA Computer University, Quezon City, Metro Manila, Philippines",ama computer university quezon city metro manila philippines,"AMA Computer University, Quezon City, Metro Manila, Philippines, Metro Manila, Philippines",14.725309,121.060943,google,"AMA Computer University, 16 Regalado Highway, Villa Arca Subdivision, Baesa, Quezon City, 1106 Metro Manila, Philippines",FALLBACK_FULL|GEOMETRIC_CENTER
13 - Nat. Capital Region,Arellano University-Manila,Private,Metro Manila,Manila,"Arellano University-Manila, Manila, Metro Manila, Philippines",arellano university-manila manila metro manila philippines,"Arellano University-Manila, Manila, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Arellano University-Malabon,Private,Metro Manila,Malabon,"Arellano University-Malabon, Malabon, Metro Manila, Philippines",arellano university-malabon malabon metro manila philippines,"Arellano University-Malabon, Malabon, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Arellano University-Pasay,Private,Metro Manila,Pasay,"Arellano University-Pasay, Pasay, Metro Manila, Philippines",arellano university-pasay pasay metro manila philippines,"Arellano University-Pasay, Pasay, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Arellano University-Pasig,Private,Metro Manila,Pasig,"Arellano University-Pasig, Pasig, Metro Manila, Philippines",arellano university-pasig pasig metro manila philippines,"Arellano University-Pasig, Pasig, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Asia Pacific College,Private,Metro Manila,Makati,"Asia Pacific College, Makati, Metro Manila, Philippines",asia pacific college makati metro manila philippines,,14.5311124,121.021315,google,"3 Humabon, Makati, 1232 Kalakhang Maynila, Philippines",CLEANED|ROOFTOP
